Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     14.13     0.00        1     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.07% of 14.13 seconds

index % time    self  children    called     name
                0.00    0.00       1/26005       tinyxml2::XMLDocument::RootElement() [59]
                0.00    0.00       4/26005       _fu1___ZSt4cout [50]
                0.00    0.53    1000/26005       _fu5___ZSt4cout [9]
                0.00   13.35   25000/26005       _fu3___ZSt4cout [3]
[1]     98.3    0.00   13.89   26005         tinyxml2::XMLNode::FirstChildElement(char const*) [1]
                5.15    8.74   26005/26005       tinyxml2::XMLNode::FirstChildElement(char const*) const [2]
-----------------------------------------------
                5.15    8.74   26005/26005       tinyxml2::XMLNode::FirstChildElement(char const*) [1]
[2]     98.3    5.15    8.74   26005         tinyxml2::XMLNode::FirstChildElement(char const*) const [2]
                4.59    0.00 323621329/323796339     tinyxml2::XMLUtil::StringEqual(char const*, char const*, int) [4]
                0.85    2.66 323621329/323646330     tinyxml2::XMLElement::Name() const [5]
                0.64    0.00 323621330/323621333     tinyxml2::XMLElement::ToElement() [8]
                0.00    0.00       1/3           tinyxml2::XMLNode::ToElement() [128]
-----------------------------------------------
                                                 <spontaneous>
[3]     94.5    0.00   13.36                 _fu3___ZSt4cout [3]
                0.00   13.35   25000/26005       tinyxml2::XMLNode::FirstChildElement(char const*) [1]
                0.00    0.00   25000/25001       tinyxml2::XMLElement::Attribute(char const*, char const*) const [66]
